tic_id,label,file_path,period_days,duration_days,duration_hours,transit_time,depth,depth_percent,snr,bls_power,n_points_used,n_in_transit_points,n_detected_transits,odd_even_depth_difference,secondary_eclipse_depth,v_shape_score,baseline_days,period_search_min_days,period_search_max_days
101230735,planet,backend/data/lightcurves/planets/TIC_101230735.csv,2.0688242061737974,0.03,0.72,1658.103563410428,0.00041997602378640586,0.041997602378640586,7.717789167233856,2.6220325247344743e-05,17222,231,12,1.683930174478654e-05,9.821657090181013e-05,0.0002543561366173952,25.332269121707213,0.5,12.666134560853607
107782586,planet,backend/data/lightcurves/planets/TIC_107782586.csv,1.9598087094148355,0.054,1.296,2229.2326129381972,0.0013036406155383373,0.13036406155383373,26.798824962402044,0.00041399155152456663,16914,466,13,2.9056090944390434e-05,9.512719155591043e-05,0.0006599127285800144,25.040493247089216,0.5,12.520246623544608
114018671,planet,backend/data/lightcurves/planets/TIC_114018671.csv,2.474209574854864,0.078,1.8719999999999999,2231.110281029967,0.00024142313548858318,0.02414231354885832,5.804983850758625,1.6116523664646595e-05,17010,504,10,6.276419639938968e-05,1.5560649647583524e-05,2.4330941142403084e-05,25.094392316633275,0.5,12.547196158316638
120247528,planet,backend/data/lightcurves/planets/TIC_120247528.csv,3.554090086802779,0.054,1.296,1655.3952981813263,0.007562391986932093,0.7562391986932093,52.08978063884324,0.008521994048947613,19438,305,8,0.00028797984713657687,-7.95952884221629e-05,0.0027597612158756224,28.435918617089783,0.5,14.217959308544891
144065872,planet,backend/data/lightcurves/planets/TIC_144065872.csv,2.184913659424344,0.105,2.52,1326.5047915348225,0.00570525861553195,0.570525861553195,61.62763059609578,0.001112630726057951,17477,71,13,0.0003381898387686544,0.00016465850066349486,,27.880655831608465,0.5,13.940327915804232
146172354,planet,backend/data/lightcurves/planets/TIC_146172354.csv,3.7800268830689907,0.129,3.096,2285.0472506039223,0.0018977735808103358,0.18977735808103358,16.1097773870155,0.0011186526636028263,18475,666,6,0.00041144126721837093,-9.504939541371549e-05,0.0006857186453919084,23.82227310171811,0.5,11.911136550859055
146589986,planet,backend/data/lightcurves/planets/TIC_146589986.csv,5.671117407440127,0.129,3.096,2283.818008294809,0.0019395939952732144,0.19395939952732144,13.83634472191493,0.0008296501345449104,19107,444,4,0.00023107002831579404,-2.2300469584402016e-05,0.0008141805279449077,24.171627186188744,0.5,12.085813593094372
149603524,planet,backend/data/lightcurves/planets/TIC_149603524.csv,4.4110454442379945,0.153,3.6719999999999997,1326.08007805538,0.003791750056448162,0.3791750056448162,36.86759666826327,0.0004810864364793096,17744,71,7,0.0008265895173564797,-1.9919821009573013e-05,,27.880674144442537,0.5,13.940337072221268
158297421,planet,backend/data/lightcurves/planets/TIC_158297421.csv,3.9231038675941834,0.054,1.296,1659.8814280849515,0.02421004803398019,2.421004803398019,22.513418746907135,0.054359366177753256,16626,195,6,0.00305753475576942,-0.0008767284250303931,0.014249139926048815,25.1083279329805,0.5,12.55416396649025
16288184,planet,backend/data/lightcurves/planets/TIC_16288184.csv,2.181008544606214,0.105,2.52,1628.9804330573713,0.01040554835035612,1.040554835035612,53.320897217713885,0.0362528788398877,15866,669,11,0.0003839963121300416,2.0226002873324767e-05,0.00282999305176046,24.83617610436545,0.5,12.418088052182725
