time,flux,flux_err,tic_id,label
1325.2966760192728,1.0016438,0.0022947595,388104525,planet
1325.298064931062,1.0023382,0.0022935863,388104525,planet
1325.2994538429095,0.99807477,0.002292024,388104525,planet
1325.3008427546986,1.0015073,0.002291814,388104525,planet
1325.302231666546,0.99891937,0.002290677,388104525,planet
1325.3036205783353,1.0006256,0.0022913215,388104525,planet
1325.3050094901826,1.0017788,0.0022948883,388104525,planet
1325.3063984020298,0.9988123,0.002292196,388104525,planet
1325.3077873138773,0.9996952,0.002293004,388104525,planet
1325.3091762257247,1.0010502,0.0022949942,388104525,planet
1325.310565137572,0.9973178,0.0022928962,388104525,planet
1325.3119540494192,1.0009016,0.002296057,388104525,planet
1325.313342961267,0.99935,0.0022950643,388104525,planet
1325.3147318731149,0.9998165,0.0022947618,388104525,planet
1325.3161207849623,1.0001174,0.0022949355,388104525,planet
1325.3175096968089,0.9995643,0.0022978713,388104525,planet
1325.318898608715,0.99886376,0.0022964661,388104525,planet
1325.3202875205625,1.0031502,0.0022999553,388104525,planet
1325.3216764324673,0.99963164,0.0023001004,388104525,planet
1325.3230653443154,0.9954497,0.002295185,388104525,planet
1325.324454256221,1.0018547,0.0023028965,388104525,planet
1325.3258431681259,1.0005343,0.0023011852,388104525,planet
1325.327232079974,0.9971105,0.0022988282,388104525,planet
1325.3286209918795,0.99897105,0.0023009626,388104525,planet
1325.3300099037845,0.9978804,0.0022980375,388104525,planet
1325.3313988156908,1.0043283,0.0023062027,388104525,planet
1325.332787727597,1.0006423,0.0023027097,388104525,planet
1325.3341766395026,1.001587,0.0023044462,388104525,planet
1325.335565551408,0.99768806,0.0023015672,388104525,planet
1325.336954463372,1.0038601,0.0023101312,388104525,planet
1325.3383433752776,0.9987884,0.0023043114,388104525,planet
1325.339732287183,0.9976162,0.0023036802,388104525,planet
1325.3411211991468,1.0032979,0.0023090264,388104525,planet
1325.3425101110524,1.0004512,0.0023071154,388104525,planet
1325.3438990230163,1.000889,0.0023064818,388104525,planet
1325.3452879349218,0.9980936,0.002307902,388104525,planet
1325.3466768468863,1.0034099,0.0023104674,388104525,planet
1325.34806575885,1.0020963,0.002310493,388104525,planet
1325.3494546708132,0.9998048,0.0023090597,388104525,planet
1325.3508435827778,1.0005543,0.0023113221,388104525,planet
1325.3522324946832,1.0003109,0.0023101522,388104525,planet
1325.3536214066464,0.9986289,0.0023098863,388104525,planet
1325.355010318669,1.0018541,0.0023132667,388104525,planet
1325.3563992306329,1.0026138,0.0023155664,388104525,planet
1325.3577881425958,1.001443,0.0023145378,388104525,planet
1325.3591770545602,1.0042112,0.0023175734,388104525,planet
1325.3605659665243,1.0004218,0.0023179823,388104525,planet
1325.3619548785455,1.001233,0.0023184458,388104525,planet
1325.3633437905098,0.99960786,0.0023179052,388104525,planet
1325.3647327025326,1.0063633,0.0023221662,388104525,planet
1325.3661216144958,1.0015085,0.0023192284,388104525,planet
1325.3675105265177,1.0032909,0.0023214265,388104525,planet
1325.3688994385404,0.9987476,0.0023205506,388104525,planet
1325.3702883505034,1.0012201,0.0023225101,388104525,planet
1325.3716772625255,1.0015618,0.0023239166,388104525,planet
1325.3730661745483,1.0008826,0.002321742,388104525,planet
1325.3744550865702,0.99952483,0.0023245707,388104525,planet
1325.375843998592,0.9994917,0.0023223395,388104525,planet
1325.377232910614,1.000248,0.0023246116,388104525,planet
1325.3786218226362,1.0006433,0.0023267476,388104525,planet
1325.380010734658,0.99637675,0.0023232885,388104525,planet
1325.38139964668,0.99853426,0.002327163,388104525,planet
1325.382788558761,0.9995839,0.0023275597,388104525,planet
1325.384177470783,1.0019976,0.0023275064,388104525,planet
1325.3855663828624,1.0038854,0.0023341367,388104525,planet
1325.3869552948852,1.0042906,0.002332156,388104525,planet
1325.3883442069653,1.001464,0.0023329088,388104525,planet
1325.3897331189867,0.9981494,0.0023285612,388104525,planet
1325.3911220310677,1.0031495,0.002333152,388104525,planet
