phase,flux
-0.49997785655725047,1.0003411335677188
-0.4999625236009873,0.99933307199377
-0.4999607390306919,1.006218476977819
-0.49995268858037567,0.99699108935294
-0.4999513553726037,1.0001979345389178
-0.49994842732286765,0.9969447729674897
-0.49991662972289674,0.9935515212657893
-0.4999012970745469,1.00268956295198
-0.49989951410552097,1.0022523726270682
-0.49989146242343124,0.9985863991560833
-0.4998901300778165,1.000553912553439
-0.49988720165858447,1.001856012607106
-0.499855402888543,0.9992223580753136
-0.4998400706712718,0.9972017302657116
-0.49983828930339513,0.9988433935654553
-0.4998302362666071,0.99945682674266
-0.49982890465986407,1.004997511027
-0.4998259758713766,1.0014337489491356
-0.4997941760544299,1.0004892163924306
-0.4997788441449517,0.9988671886403231
-0.49977706437810393,1.0010687985947053
-0.4997690101096627,0.9981812717969041
-0.49976767924203186,0.9997782790163809
-0.499764750207334,1.0058901073272768
-0.4997329492818994,0.9998212512452509
-0.49971761761875183,1.0054780987291034
-0.4997158395760984,1.0031820999163497
-0.4997077839529588,0.9967963266796458
-0.49970645382431994,0.9981270780648063
-0.4997035244200059,1.0027299889334864
-0.49967172244766594,1.0026623524723375
-0.4996563910924317,0.9998079043915016
-0.4996546147739725,1.0059830386906439
-0.4996465579191797,1.0002118860094535
-0.49964522852977333,0.9991981663440811
-0.499642298755843,1.0020578436452146
-0.4996104956134325,1.004038574885033
-0.4995951645662319,0.9991583135296417
-0.4995933898492827,1.0034578028740835
-0.4995853317624758,0.9978758197043126
-0.4995840031120614,0.9966112427792673
-0.49958107296839455,1.0007476447160042
-0.49954926877907885,0.9950567580822844
-0.4995339380396712,0.9980894074039314
-0.4995321650472771,0.9994710887554757
-0.499524105605772,1.0002042539126548
-0.4995227776939887,0.9994070302203122
-0.4995198473041114,0.9989432959174623
-0.4994880419448454,1.003992566784987
-0.4994727115133511,1.002993368868581
-0.49947094012186566,0.9994204296512608
-0.49946287944882756,1.0017928729860652
-0.49946155227603617,0.9962975843657026
-0.4994586215169035,1.0003193504305241
-0.4994268151723149,1.0026971168551218
-0.49941148498715127,1.0009384413152242
-0.49940971531986006,1.0000313059925963
-0.49940165329200337,0.9949253551960088
-0.49940032698148956,0.9975083726443915
-0.4993973958528609,0.997926035914961
-0.49936558833820177,1.000695466304185
-0.4993502584609514,1.0015333817588914
-0.4993484905178545,0.9969638859528063
-0.49934042713505894,0.9976355555676316
-0.49933910156377764,0.9995823135515574
-0.4993361701886981,0.9978645668599796
-0.49930436150396834,1.0011955209981378
-0.49928903193487184,1.0049401795800963
-0.49928726559280384,1.000344611937897
-0.4992792009782348,1.0014416968695055
-0.4992778761460657,0.9986713938880768
-0.49927494440136994,0.9985099615311874
-0.4992431346696146,1.000044914368971
-0.49922780540831113,0.9967542459807143
-0.4992260407909186,0.9962221427957507
-0.49921797482153096,1.0012512127758748
-0.4992166507281132,0.9979999011712228
-0.4992137187370868,1.0012061654296767
-0.4991819078352609,1.0015795767319606
-0.49916657888187077,1.0023117833747852
-0.4991648158657477,1.002984046968157
-0.49915674866482707,0.9984071536058372
-0.4991554254333261,1.002232985592944
-0.4991524929496383,0.9978100809318188
-0.49912068100102747,0.9972751729959897
-0.49910535235555065,0.9992843702914148
-0.4991035910635015,0.9978406598552735
-0.49909552250800293,0.9963519550647645
-0.49909420001549387,1.001677154946477
-0.4990912672855958,0.9937944502883983
-0.49905945422861725,0.9965499496801976
-0.4990441258293508,0.9921713392379182
-0.4990423661384509,1.001720270412166
-0.49903429635117874,0.9931113562141033
-0.49903297459766166,0.9989345135220906
-0.49903004149838787,1.0007172926133274
-0.4989982273945041,1.0098036065265261
-0.4989828993030307,1.000413311749126
-0.49898114133632504,0.9993884366707506
-0.4989730703173997,1.0024463778171777
-0.4989717491797092,1.0005988297964796
-0.49896881583446556,1.003644299805183
-0.4989370005601504,0.9967095288418653
-0.4989216727768308,1.00099539473026
-0.49891991653419915,0.9996477474260961
-0.49891184416045525,0.9977406603336648
-0.498910523884922,0.9932061541942112
-0.49890759004677654,0.9981915946801434
-0.49887577372579667,1.0054534849280692
-0.49886044625039044,0.9993549705956578
-0.49885869160914853,0.9941994346888033
-0.49885061800375136,0.9984831093855899
-0.4988492984672101,0.9979756705014108
-0.4988463643826137,1.0020425103288662
-0.49881454689156324,0.99768031233597
-0.4987992197240703,1.0005661278779259
-0.4987974668072632,1.0047466322329153
-0.4987893918470475,0.998752573121046
-0.4987880730492576,0.9991855865236872
-0.4987851385952855,1.0048716240585738
-0.4987533200573298,0.9985552939361773
-0.4987379931977502,1.0034620385289497
-0.4987362418820923,0.9958106670291574
-0.4987281656903436,0.9985187761571703
-0.49872684763130515,0.9972843037682546
-0.49872391293112267,1.000634338957905
-0.49869209328467906,0.9992107727270724
-0.4986767667944751,1.002266555968851
-0.49867501708008677,0.9996941379704478
-0.4986669395333992,0.9993699972650448
-0.49866562233663825,0.9997543891575774
-0.49866268714379447,1.0002147459253483
-0.49863086645068616,0.9989237749324581
-0.49861554026803473,1.005817552381102
-0.4986137922779609,1.002691110559202
-0.49860571337621423,0.997842694715267
-0.49860439691892633,1.0052175106597843
-0.49860146147963164,1.000088997722496
-0.49856963961633244,0.9958032742084179
-0.49855431374183484,0.9993102269597769
-0.49855256735266973,0.9989637507576833
-0.4985444872196306,0.9915829299276808
-0.4985431715013347,0.9978544396966686
-0.498540235692544,1.0013667059013862
-0.49850841278197877,1.0033105255847936
-0.498493087215635,0.9970678690996888
-0.49849134255090466,0.9983675934867957
-0.49848326106292673,1.0017299539538715
-0.4984819460833822,0.9995781064903587
-0.4984790100282609,0.9973740823893635
-0.49844718594774534,0.9991575765635075
-0.4984318606893149,0.9986844041732577
-0.49843011762585404,0.99514711975459
-0.4984220349062229,1.0039835529007668
-0.49842072078859506,1.002837073673779
-0.4984177842409327,0.9990738144987081
-0.4983859591746134,1.0041933829669036
-0.49837063416299476,0.9972571855656984
-0.49836889282384844,1.0025219989084178
-0.49836080887256407,0.9976667543667042
-0.49835949537064256,1.0012198489926785
-0.49835655857664957,0.9955705724750104
-0.4983247323405003,1.001477972213181
-0.4983094076365544,1.0043983654343538
-0.4983076678985573,1.0025875031402975
-0.49829958271561964,1.005171270885447
-0.49829826995281035,0.9967217149449454
-0.49829533291248673,1.0019277175205996
-0.4982635055065074,0.9987341560138041
-0.4982481811102343,0.999917344438342
-0.4982464430964314,0.9953609947497005
-0.4982383565586752,1.0065572544103663
-0.49823704453509843,0.9987638887779599
-0.4982341071253991,0.9997690661632217
-0.49820227867227396,0.9986469472503295
-0.49818695458403445,1.0000695197289733
-0.49818521829442586,1.0147269469032123
-0.4981771304018511,1.001012895373706
-0.4981758192407924,0.9977198512800334
-0.498172881461116,1.0009766000197957
-0.4981410518379203,1.002163256538991
-0.4981257280577143,1.0003089931807743
-0.4981159042451472,0.9977807905846828
-0.4981145938227196,0.9962599001305303
-0.4981116556737878,0.9993157874869405
-0.49807982500356657,0.9951237782629034
-0.49806450153151444,0.9992931892021837
-0.49805467808868387,1.001421711044373
-0.49805336840476716,1.0004919844842957
-0.49805043000950466,1.0010811151131092
-0.49801859823091577,0.9959967371786611
-0.4980032750048335,1.0051073152271912
-0.498001543642319,0.9988844778860252
-0.49799345193161915,0.9985784559102735
-0.49799214298693495,1.0049437048348266
-0.4979892042221765,0.9934735961691886
-0.49795737139668234,0.9984091238578207
-0.49794204847863366,1.0010055606550883
-0.49794031884019313,0.9980080235739085
-0.4979322257745545,0.9993192224030774
-0.49793091756910274,1.0001413340701126
-0.4979279785582542,0.9993158443744588
-0.4978961445625692,0.9984955845654601
-0.497880821952073,1.0056467792377681
-0.49787909403818753,0.9972326751518489
-0.4978709996178506,1.0024137703060498
-0.4978696922743156,1.001867594670846
-0.497866752770926,0.9991513856105233
-0.49783491772845606,1.0005452274136732
-0.4978195954261137,0.9991782199476996
-0.4978178691128964,1.0008367011964867
-0.49780977346102645,0.9990646399434169
-0.4978084668566037,0.9965280497823056
-0.4978055271067632,0.9991394989268694
-0.49777369089410234,0.995831799047005
-0.4977583689001544,0.9998498828445678
-0.4977566443110111,1.0054511942329456
-0.4977485474274879,0.9989432204400225
-0.49774724143889176,0.9998654678000847
-0.497744301319435,1.0148652522734727
-0.4977124641214516,1.0025994184849611
-0.49769714237359375,1.0026744564029608
-0.4976954193860807,1.0009050090894231
-0.497687321270784,1.0064763804238162
-0.49768601602093926,1.0012447696745088
-0.49768307565515185,0.9974806151942459
-0.49765123728721816,1.0033655752614163
-0.49763591597031864,1.0042855984917987
-0.49763419458395486,0.9964642673260422
-0.4976260951138396,0.9975316024225936
-0.49762479072639265,0.997458066572803
-0.4976218498675831,0.9994166405642081
-0.49759001045298473,0.9988351702345379
-0.4975746894439985,0.9995602304757855
-0.49757296978158844,1.0046340538384562
-0.49756486895689517,1.0039352778320592
-0.49756356530844015,1.0035931875513957
-0.4975606242034203,0.997792647795978
-0.49752878361875125,0.9972743895560455
-0.49751346291755816,0.9971663549247216
-0.4975117448566581,1.0007414060749424
-0.4975036428001913,1.0001479331759653
-0.4975023398904877,1.0012243068342634
-0.49749939841645296,0.9982033735320007
-0.4974675567846381,1.0000773947463306
-0.49745223639147856,0.9991721566022475
-0.4974505200546525,0.998956792827617
-0.4974424166432469,1.0003988692905015
-0.4974411144727758,0.9930869345355049
-0.49743817275241037,1.001463204256157
-0.4974063299502844,1.0008074096327808
-0.4973910098647976,0.996981784603091
-0.4973892951294816,0.9947734611619065
-0.49738119048630247,0.9953546406674901
-0.4973798891782292,0.9978761530288673
-0.49737694696496193,0.9940925005597262
-0.49734510317763364,0.9964876274723883
-0.4973297833384775,0.9987636611528814
-0.4973280703275963,1.000543803026045
-0.4973199643295986,0.9979414899538999
-0.49731866376051725,0.9996533449827054
-0.4973157213006788,0.9979238024644834
-0.4972838763434002,1.000824894800821
-0.4972685568120371,1.0066197762312263
-0.4972668455255907,0.9995646418660157
-0.49725873817289473,0.997094490744219
-0.49725743834256475,1.001970528136228
-0.4972544956362754,0.9998327335779121
-0.4972226495090465,0.9983168339736994
-0.49720733028571695,0.9993399176993748
-0.4972056206004198,1.000431603478482
-0.49719751201607054,1.002898351265241
-0.497196212924492,0.9985166709172434
-0.49719326984918777,1.001703833694006
-0.49716142267481306,0.9964589278713437
-0.4971461037592766,0.9959665912649829
-0.49714439579829395,0.9967807225772918
-0.4971362859824117,1.0130053585746073
-0.4971349876298251,1.001908294212433
-0.49713204418514517,1.0001779587522308
-0.4971001958408202,1.0011534763378385
-0.497084877233197,0.9996192932714594
-0.49708317087312304,0.9980331503938074
-0.49707505982522676,0.9934755033935251
-0.4970737622122335,0.995606977628541
-0.4970708183979373,0.9966653971815264
-0.4970389690681694,0.9939576200738174
-0.49702365070699717,1.0022864903015172
-0.49702194607123773,1.000881247998883
-0.49701383366852286,1.0008706961891292
-0.49701253679452156,1.0020280914221584
-0.49700959273365414,0.9997392670542343
-0.496977742233936,0.9993513928091173
-0.49696242418067704,0.996994781750326
-0.4969607212693524,1.0033711236998157
-0.4969526075119393,1.0013221000996055
-0.49695131149985466,0.9984170514957834
-0.4969483669462057,0.9978924968429165
-0.49691651539958226,1.00225117912428
-0.4969011976542366,0.9978328894744496
-0.4968994963440612,0.9972152068912014
-0.4968913813552354,0.9998757882959909
-0.49689008608190216,1.0049097375903437
-0.49688714128216316,1.0026517920841136
-0.4968552885652286,1.0064896653341822
-0.49683997112779626,1.0005112839800891
-0.49683827154217597,0.999351999268152
-0.4968301551985316,0.9961846415099943
-0.4968288606639497,1.0063251505633501
-0.49682591549471466,0.9960223335186984
-0.4967940617311154,0.9966108709671394
-0.49677874460147614,0.9979903403157812
-0.4967770466167645,1.0011589907106622
-0.49676892904146686,1.0007050995151319
-0.4967676352461175,1.001467077832679
-0.4967646898306721,1.0001931105204724
-0.49673283495858495,0.9990425671107432
-0.496717518075156,0.9983987180643935
-0.4967158218147589,0.9982194915786645
-0.49670770288452243,1.00126611314633
-0.4967064099515709,0.9962838868198381
-0.4967034640434642,1.0009762064848124
-0.49667160812447175,1.0035273406690681
-0.49665629154895613,1.006152605168083
-0.49665459701275333,1.0020603678389044
-0.4966464767276983,1.0011080436644217
-0.496645184533859,1.001128869025618
-0.4966422383791811,0.9984758881397442
-0.4966103812901181,1.0005602540476626
-0.4965950651459216,0.9980391294613473
-0.4965933720877027,0.9948297633247748
-0.49658525069403947,1.0042949510655381
-0.49658395911602676,0.9962028420588989
-0.4965810125918529,0.9991594314816399
-0.49654915445576436,0.993321794682963
-0.49653383861948125,1.0026350256020342
