model,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_macro_f1,planet_recall,false_positive_recall,eclipsing_binary_recall
ExtraTrees,0.68500888000888,0.08806933377825076,0.78,0.7712998712998713,0.5294117647058824,0.8235294117647058,1.0
LogisticRegression,0.5997679662385546,0.131713989446822,0.74,0.7433479532163743,0.6470588235294118,0.7647058823529411,0.8125
SVM,0.5798742582953109,0.08263037098535428,0.74,0.7318589269808782,0.47058823529411764,0.8823529411764706,0.875
RandomForest,0.6490561725855843,0.08662243297928178,0.74,0.7275132275132276,0.47058823529411764,0.7647058823529411,1.0
GradientBoosting,0.6782395382395383,0.057811057990387174,0.72,0.7045177045177046,0.4117647058823529,0.8235294117647058,0.9375
