time,flux,normalized_flux,trend,detrended_flux
2282.171750603922,0.9980555,0.9980555598833335,1.000444605455504,0.9976120161384819
2282.171982089492,1.0008843,1.0008843600530617,1.000443831142564,1.0004403334767875
2282.172213574828,0.99932367,0.9993237299594238,1.0004430572713663,0.9988811683945357
2282.172445060396,1.0027153,1.0027153601629215,1.0004422838419105,1.002272071420534
2282.1726765459644,1.000053,1.0000530600031836,1.000441510854197,0.9996117205785655
2282.1729080313003,0.99792284,0.997922899875374,1.0004407383082254,0.9974832707861245
2282.173139516869,1.0007972,1.0007972600478356,1.0004399662039962,1.0003571367157542
2282.173371002206,0.9982878,0.9982878598972715,1.000439194541509,0.9978496097954025
2282.1736024877746,0.9962957,0.9962957597777455,1.000438423320764,0.9958591519013558
2282.17383397311,0.9941066,0.9941066596463995,1.000437652541761,0.9936717766676647
2282.1740654586783,1.0086163,1.0086163605169816,1.0004368822045002,1.0081759064044675
2282.1742969440143,0.9948262,0.9948262596895755,1.0004361123089816,0.9943925928398779
2282.1745284295835,1.0005437,1.0005437600326255,1.000435342855205,1.0001083699993154
2282.174759915152,1.0040214,1.0040214602412876,1.0004345738431706,1.003585328308215
2282.174991400488,1.0008187,1.0008187600491256,1.0004338052728783,1.0003847878532477
2282.1752228860564,1.004192,1.0041920602515235,1.0004330371443282,1.003757396015155
2282.175454371392,1.0023288,1.0023288601397315,1.00043226945752,1.0018957711982241
2282.175685856961,0.99285233,0.9928523895711433,1.0004315022124544,0.9924241563519842
2282.175917342297,1.004361,1.0043610602616637,1.0004307354091304,1.0039286326513408
2282.176148827866,0.99783564,0.997835699870142,1.0004299690475489,0.9974068457986353
2282.176380313202,1.0028572,1.0028572601714356,1.0004292031277093,1.0024270153611423
2282.176611798772,0.9972152,0.9972152598329155,1.000428437649612,0.9967881982401006
2282.17684328434,1.0017304,1.0017304601038275,1.0004276726132566,1.0013022305622232
2282.177074769675,0.9986427,0.9986427599185655,1.0004269080186436,0.9982166132420293
2282.177306255244,1.0011828,1.0011828600709716,1.0004261438657727,1.00075639387259
2282.17753774058,0.9982746,0.9982746598964796,1.0004253801546437,0.9978501942265483
2282.177769226149,0.9990832,0.9990832599449955,1.000424616885257,0.998659212380801
2282.1780007114853,0.99908066,0.9990807199448432,1.0004238540576125,0.9986574349388795
2282.1782321970536,1.0016241,1.0016241600974496,1.0004230916717098,1.0012005604785998
2282.178463682389,1.0017534,1.0017534601052074,1.0004223297275496,1.0013305684390514
2282.1786951679574,1.0013413,1.0013413600804815,1.0004215682251314,1.0009194042637264
2282.1789266535266,0.9939923,0.9939923596395416,1.0004208071644551,0.9935742564739991
2282.179158138863,1.0033765,1.0033765602025935,1.0004200465455213,1.0029552723051494
