tic_id,label,sectors,morphology,source,flags
32008233,eclipsing_binary,"7, 34, 61, 88",0.588,LCF,
32050581,eclipsing_binary,"1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 27, 28, 29, 30, 31, 33, 34, 36, 37, 39, 61, 63, 64, 65, 66, 67, 68, 69, 87, 88",0.224,LCF,
32150630,eclipsing_binary,"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88",0.349,LCF,
32200310,eclipsing_binary,"1, 28, 68",0.726,LCF,
32268776,eclipsing_binary,"3, 30",0.607,LCF,
32284829,eclipsing_binary,"3, 30",0.692,LCF,
32449963,eclipsing_binary,"10, 37, 46",0.156,LCF,
32543789,eclipsing_binary,"5, 6, 32, 33",0.826,LCF,
32551761,eclipsing_binary,"3, 30",0.925,LCF,
32702481,eclipsing_binary,"5, 6, 32, 33, 87",0.339,LCF,
32759110,eclipsing_binary,"6, 32, 33, 87",0.128,LCF,
32830028,eclipsing_binary,"6, 32, 33, 87",0.606,LCF,
32932888,eclipsing_binary,"7, 33, 87",0.628,LCF,
32959497,eclipsing_binary,"12, 39, 66",0.524,LCF,
33194538,eclipsing_binary,"7, 33, 87",0.560,LCF,
33419790,eclipsing_binary,"6, 32, 33, 87",0.546,LCF,
33521996,eclipsing_binary,"6, 32, 33, 87",0.224,LCF,
33576348,eclipsing_binary,3,0.665,LCF,
33665328,eclipsing_binary,"3, 30",0.442,LCF,
33689349,eclipsing_binary,"6, 33, 87",0.401,LCF,
33715938,eclipsing_binary,"1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 61, 62, 63, 65, 66, 67, 68, 69, 87, 88",0.529,LCF,
33742428,eclipsing_binary,"6, 33, 87",0.519,LCF,
33742828,eclipsing_binary,"6, 33, 87",0.398,LCF,A
33834253,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88",0.550,LCF,
33862174,eclipsing_binary,"1, 2, 5, 8, 9, 12, 13, 27, 28, 29, 32, 35, 38, 39, 61, 62, 63, 65, 66, 67, 68, 69, 87, 88",0.592,LCF,
33864821,eclipsing_binary,"2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88",0.495,LCF,
33912852,eclipsing_binary,"2, 29, 69",0.361,LCF,
34082428,eclipsing_binary,"6, 33, 87",0.568,LCF,
34107676,eclipsing_binary,"5, 31",0.799,LCF,A
34142502,eclipsing_binary,"6, 33, 87",0.703,LCF,
34145330,eclipsing_binary,5,0.610,LCF,
34236395,eclipsing_binary,5,0.526,LCF,
35009375,eclipsing_binary,"9, 36, 45, 46, 62, 72",0.763,LCF,
35101462,eclipsing_binary,4,0.210,LCF,
35349987,eclipsing_binary,"11, 12, 38, 65",0.018,LCF,
35481236,eclipsing_binary,"6, 7, 33, 87",0.618,LCF,
35516889,eclipsing_binary,"9, 36, 62, 63",0.515,LCF,
35655828,eclipsing_binary,"9, 36, 62, 63",0.241,LCF,
35743561,eclipsing_binary,"4, 31",0.544,LCF,
35744583,eclipsing_binary,"4, 31",0.548,LCF,
35744707,eclipsing_binary,"4, 31",0.709,LCF,
35857242,eclipsing_binary,"4, 31",0.363,LCF,A
36077464,eclipsing_binary,"9, 10, 36, 62, 63",0.842,LCF,
36352297,eclipsing_binary,"6, 33, 87",0.363,LCF,
36594985,eclipsing_binary,"12, 39, 66",0.540,LCF,
36729364,eclipsing_binary,"4, 31",0.892,LCF,
36734222,eclipsing_binary,"9, 35, 62",0.439,LCF,A
36883123,eclipsing_binary,"4, 31",0.744,LCF,
37248140,eclipsing_binary,"6, 87",0.150,LCF,
37435039,eclipsing_binary,"8, 35, 61, 62",0.473,LCF,A
37601240,eclipsing_binary,"6, 33, 87",0.623,LCF,
37606218,eclipsing_binary,"6, 33, 87",0.210,LCF,
37817410,eclipsing_binary,"5, 32",0.536,LCF,
38021254,eclipsing_binary,"5, 32",0.904,LCF,
38023570,eclipsing_binary,"6, 33, 87",0.426,LCF,
