toi,tid,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep
"1115.01",379286801,"APC",4.4519900,2.1090000,8483.3800000
"1116.01",304100538,"PC",5.0100708,2.0644756,409.4812214
"1117.01",295541511,"PC",2.2281625,2.0150000,630.0000000
"1118.01",90919952,"FP",4.1381200,3.9110000,5560.0000000
"1119.01",261369656,"APC",10.9566300,3.5880000,3830.0000000
"112.01",388104525,"KP",2.4997996,2.8651710,14621.2059647
"1120.01",143257766,"FP",1.6622600,3.3210000,6030.0000000
"1121.01",24094603,"FP",4.0761100,2.0620000,1454.1800000
"1122.01",304774444,"FP",3.6245513,3.0420000,1299.0000000
"1123.01",469782185,"APC",1.2092800,1.8860000,11883.8000000
"1124.01",128790976,"APC",3.5187707,2.4080000,5634.0000000
"1125.01",80166433,"PC",0.7724825,1.3744974,211.3168519
"1126.01",405862830,"FP",1.6268695,3.2310000,1502.0000000
"1127.01",269450900,"FP",2.3243900,4.4530000,2704.1800000
"1128.01",425721385,"FP",13.5499000,1.7950000,1180.0000000
"1129.01",91576611,"FP",4.4365100,3.3650000,1520.0000000
"113.01",97409519,"KP",3.3728770,2.6342600,17163.6041900
"1130.01",254113311,"CP",8.3499800,1.8360000,16680.0000000
"1130.02",254113311,"CP",4.0686405,1.8373729,2650.0950013
"1131.01",198213332,"PC",0.5860366,0.8098934,410.5241553
"1132.01",267489265,"FP",1.5502952,2.9380000,411.0000000
"1133.01",69997672,"FP",1.8070900,3.2970000,450.0000000
"1134.01",122220263,"FP",18.6922101,7.7650000,11126.0000000
"1135.01",154872375,"CP",8.0277326,4.2840000,5705.0000000
"1136.01",142276270,"CP",12.5187279,5.3800000,2320.0000000
"1136.02",142276270,"CP",6.2586065,3.2010000,813.0000000
"1136.03",142276270,"CP",26.3208756,4.4140000,800.0000000
"1136.04",142276270,"CP",18.7955470,4.3425576,470.6731965
"1137.01",89389197,"PC",1.3206356,1.6000996,1052.4255997
"1078.01",370133522,"CP",0.5182425,0.8565249,831.8920424
"1079.01",379240073,"PC",3.1644075,2.0576293,5603.4635466
"108.01",289793076,"KP",3.0440495,2.6523472,22807.0101774
"1080.01",161032923,"CP",3.9652485,1.0112593,3680.7544436
"1081.01",253728991,"PC",2.9840866,2.9051285,6014.0780197
"1082.01",261108236,"PC",16.3469053,3.5865698,2212.4257252
"1083.01",322270620,"PC",12.9802953,2.5034417,2407.2608671
"1084.01",380589029,"KP",1.3484961,2.4074261,18463.7636682
"1085.01",381979901,"APC",3.2541181,4.3410000,13620.0000000
"1086.01",468148930,"PC",3.7178828,5.5277827,4864.8405125
"1087.01",426077080,"FP",9.3099200,3.4640000,2220.0000000
"1088.01",343648136,"FA",1.1539500,2.2360000,1550.0000000
"1089.01",129319156,"FP",4.7370300,3.9020000,2410.0000000
"109.01",29344935,"KP",2.7667600,2.6872178,14947.4387827
"1090.01",361034196,"FP",2.1929600,4.5860000,4933.7400000
"1091.01",193413306,"PC",1.7258410,3.6740000,2710.0000000
"1092.01",387079085,"FP",1.1923000,3.1190000,3730.0000000
"1093.01",382331352,"FP",11.4760600,6.0830000,3050.0000000
"1094.01",136274063,"APC",0.5971314,0.4680000,910.0000000
"1095.01",375223080,"PC",1.4821386,2.1867078,2102.6568299
"1096.01",375225453,"FP",0.9209526,1.8602735,360.8801529
"1097.01",360630575,"CP",9.1885060,2.4920000,460.0000000
"1097.02",360630575,"CP",13.9028391,2.1264429,647.2701039
"1098.01",383390264,"CP",10.1826983,2.8275109,667.4752458
"1099.01",290348383,"CP",6.4410060,1.8120000,914.0000000
"110.01",281459670,"KP",3.1743504,2.7510860,15457.3247576
"1100.01",318608749,"FP",20.0731588,3.8449215,1152.9645461
"1101.01",271581073,"FP",2.6690300,1.5480000,3110.0000000
"1102.01",311890977,"FP",6.6337100,2.1220000,1555.3400000
"1103.01",351603103,"PC",2.9430800,4.0730000,4490.0000000
"1104.01",451599528,"FP",341.2791676,7.0132492,8583.5584652
"1105.01",274151135,"PC",10.8680523,2.3750000,1553.0000000
"1106.01",384513078,"PC",11.1149000,2.2600000,900.0000000
"1107.01",394561119,"CP",4.0782392,4.8475616,6046.6959687
"1172.01",1717732429,"FP",7.8513949,6.8350000,22029.0000000
"1173.01",232967440,"CP",7.0643978,2.4240000,8268.0000000
"1174.01",154089169,"CP",8.9534775,2.6960000,1136.0000000
"1175.01",30329585,"FP",7.5022708,2.6050000,1760.0000000
"1176.01",230088370,"PC",14.0077666,5.8727493,5924.8349672
"1177.01",169177766,"FP",1.6928920,2.8860000,1418.0000000
"1178.01",359496368,"FP",2.6652007,3.4900000,819.0000000
"1179.01",148914726,"APC",1.2615323,1.0390000,2841.0000000
"118.01",266980320,"CP",6.0344634,2.0529010,1750.6457632
"1180.01",158002130,"CP",9.6867516,2.5120000,1669.0000000
"1181.01",229510866,"CP",2.1031647,5.0590000,7142.0000000
"1182.01",341544930,"FP",7.6416041,2.6540000,6025.0000000
"1183.01",258777137,"FP",5.9294088,2.9330000,10226.0000000
"1184.01",233087860,"CP",5.7484439,1.7600000,1041.0000000
"1185.01",83210867,"FP",1.1967018,1.8790000,824.0000000
"1186.01",289539327,"FP",11.2464616,7.3910000,7576.0000000
"1187.01",372757221,"PC",2.5941968,0.8610000,907.0000000
"1188.01",15247229,"FP",8.5112000,3.4860000,4172.7600000
"1189.01",112026224,"PC",3.9687994,1.0700000,1760.0000000
"119.01",278683844,"PC",5.5411113,2.4142561,597.3296582
"119.02",278683844,"PC",10.6917300,3.0528284,498.5173154
"1190.01",287196418,"APC",3.6950015,4.5150000,7655.0000000
"1191.01",237185205,"FP",15.7335693,3.2880000,2540.0000000
"1192.01",158276040,"APC",45.9403293,3.7680000,14807.0000000
"1193.01",89643259,"FP",2.2219839,1.9960000,4394.0000000
"1194.01",147950620,"CP",2.3106428,1.2940000,6911.0000000
"1195.01",24364065,"FP",4.0513500,2.4000000,1132.2300000
"1196.01",69068526,"PC",5.5376617,2.5170000,5390.0000000
"1197.01",92677094,"PC",4.5960377,4.7440000,5000.0000000
"1198.01",203189770,"KP",3.6127710,4.1420000,11794.0000000
"1199.01",99869022,"CP",3.6714717,2.1490000,4340.0000000
"120.01",394137592,"CP",11.5350760,8.5559580,2389.9061600
"1200.01",288185138,"FP",0.8352406,1.0430000,2065.0000000
"1201.01",29960110,"CP",2.4919771,1.4338141,2093.9594201
"1202.01",327017634,"FP",,2.7267750,878.1341080
"1203.01",23434737,"CP",25.5195307,6.6877451,558.3758637
"1204.01",467666275,"PC",1.3812115,2.7372191,117.7553083
"1138.01",110428269,"FP",0.6497100,2.0760000,620.0000000
"1139.01",202563254,"PC",4.4780798,4.5130000,1054.0000000
"114.01",25155310,"KP",3.2887898,3.4367717,7005.7247902
"1140.01",320525204,"FP",13.7431084,2.2850000,5688.0000000
"1141.01",159510109,"FP",16.9487087,4.2887767,156467.5479643
"1142.01",284450803,"FP",3.3686634,3.0120000,3288.0000000
"1143.01",160268701,"FP",11.2071839,4.3660000,3276.0000000
"1144.01",28230919,"KP",4.8878037,2.1840000,4279.0000000
"1145.01",350995812,"FP",2.9716400,1.5340000,7350.0000000
"1146.01",21755546,"FP",0.6601790,1.6349369,473.0939303
"1147.01",288391628,"FP",10.9278415,2.4680000,2743.0000000
"1148.01",349827430,"KP",5.5514888,4.3350000,9493.0000000
"1149.01",117789567,"APC",2.3202418,2.3817612,5082.9417064
"115.01",281541555,"KP",4.7423709,2.4988145,12650.8110411
"1150.01",16740101,"KP",1.4810903,4.1588291,6788.5145388
"1151.01",69679391,"KP",3.4741012,3.3170000,15748.0000000
"1152.01",237184773,"FA",6.5011911,5.5463587,4501.3454064
"1153.01",154840461,"APC",6.0360758,1.2550000,987.0000000
"1154.01",459970307,"PC",21.7455370,4.1960000,659.0000000
"1155.01",161450762,"FP",1.3200300,3.1750000,552.4680000
"1156.01",117256577,"FP",1.6865822,2.4290000,1770.0000000
"1157.01",147576037,"FP",13.0727479,3.0440000,4080.0000000
"1158.01",379931600,"FP",2.9258727,4.0750000,6720.0000000
"1159.01",48188920,"FP",0.7377400,0.6360000,524.8520000
"116.01",238176110,"KP",2.7985802,2.3801043,16708.7151957
"1160.01",89510024,"FP",2.3664127,2.5910000,300.0000000
"1161.01",158324245,"KP",1.7635881,3.0920000,6650.0000000
"1162.01",13419950,"PC",7.3166682,3.2550000,3210.0000000
"1163.01",375542276,"PC",3.0771612,2.6914319,4703.2844346
"1164.01",16102323,"FP",3.2077145,2.7080000,9640.0000000
"1165.01",458478250,"KP",2.2552845,2.0500000,20820.0000000
"1166.01",138361973,"FP",1.8824539,2.4600000,1391.0000000
"1167.01",232967666,"FP",15.1960000,1.7920000,1970.0000000
"1168.01",41330864,"FP",2.1358631,1.5590000,10325.0000000
"1169.01",302518439,"PC",6.7075429,2.1250000,11920.0000000
"117.01",322307342,"KP",3.5862962,3.3710943,5729.3246858
"1170.01",294176967,"FP",1.8296155,2.1660000,1406.0000000
"1171.01",101929303,"FP",11.1876137,3.1830000,4924.0000000
"1230.01",287156968,"CP",25.0571312,7.5424225,533.4860130
"1231.01",447061717,"CP",24.2454967,3.3725583,6260.6703602
"1232.01",364395234,"CP",14.2545623,4.7250029,7899.6939555
"1233.01",260647166,"CP",14.1758947,3.7543827,907.1324529
"1233.02",260647166,"CP",19.5901578,4.0028610,1182.6678641
"1233.03",260647166,"CP",6.2036219,3.0109800,548.9044399
"1233.04",260647166,"CP",3.7958900,2.4602856,317.5272928
"1234.01",90504905,"FP",2.2645386,3.8193701,15019.9420903
"1235.01",103633434,"CP",3.4447015,1.9120000,796.0000000
"1236.01",120757718,"KP",3.0300715,2.5466671,21794.6136956
"1237.01",120960812,"KP",12.7203800,2.4010000,1070.0000000
"1237.02",120960812,"KP",6.2387550,3.6178567,373.5681138
"1238.01",153951307,"CP",3.2947689,1.7483103,1324.0402774
"1238.02",153951307,"CP",0.7645807,1.0705700,394.9832006
"1239.01",154716798,"PC",12.6396982,3.3830702,3292.6812864
"124.01",29831208,"APC",1.8428078,1.4490000,1950.0000000
"1205.01",287776397,"PC",2.3922703,9.0053425,63.5751410
"1206.01",308034948,"FP",0.8315420,1.9855380,248.9695850
"1207.01",364393429,"PC",2.6282553,2.0930597,75.2858004
"1208.01",273985865,"PC",3.4239436,1.9601023,443.6391381
"1208.02",273985865,"PC",10.9830420,3.7478987,725.1724567
"1208.03",273985865,"PC",17.7264490,3.4404719,747.7725499
"1209.01",30037565,"PC",40.7199388,4.2436925,355.6193910
"121.01",207081058,"APC",14.7741056,5.5040000,15041.0000000
"1210.01",33878688,"FP",79.3739596,5.3920000,1227.0000000
"1211.01",50312495,"PC",18.1663644,2.4640000,624.0000000
"1212.01",389924075,"PC",105.5850893,11.6068811,462.9116325
"1213.01",399144800,"FP",27.2149622,3.7190483,4731.4046225
"1214.01",451606970,"PC",19.1807264,3.9621084,544.5602695
"1215.01",453260209,"PC",1.2124493,0.9984653,501.2911711
"1216.01",141527965,"PC",4.5541831,7.8146963,187.8286128
"1217.01",248092710,"PC",41.4856125,6.6899368,959.7522291
"1218.01",294781547,"PC",13.7739339,2.9992376,338.2166234
"1219.01",294981566,"PC",1.9142544,3.2560000,248.0000000
"122.01",231702397,"CP",5.0780325,1.2100353,5923.1283069
"1220.01",319259194,"APC",70.3607265,1.0325441,1353.9678246
"1221.01",349095149,"CP",91.6827832,9.7504857,713.2183569
"1222.01",374997123,"PC",10.1944993,2.2648785,317.3261147
"1223.01",382437043,"FP",14.6431900,2.5483426,242.7923919
"1224.01",299798795,"CP",4.1782656,1.6759040,2537.6781602
"1224.02",299798795,"CP",17.9453645,3.0740072,5480.6848640
"1225.01",150428703,"PC",13.8963960,3.5885605,748.5332881
"1225.02",150428703,"PC",8.1213102,3.1040945,594.6443745
"1226.01",177115354,"PC",3.9287851,1.8165271,485.9762569
"1227.01",360156606,"CP",27.3613778,4.0586418,20690.6684294
"1228.01",300038935,"CP",29.0496801,7.3129572,297.0644469
"1229.01",140760434,"APC",31.8132264,11.2567164,11479.3755470
"123.01",290131778,"CP",3.3088922,6.1140000,4736.0000000
"1262.01",365938305,"PC",20.8774413,3.5620000,771.0000000
"1263.01",406672232,"PC",1.0214555,1.2520000,319.0000000
"1264.01",416195870,"PC",2.7441672,1.4180000,5650.0000000
"1265.01",424865156,"KP",2.2047452,3.9960000,6872.0000000
"1266.01",467179528,"CP",10.8948421,2.0719394,3168.3853584
"1266.02",467179528,"CP",18.8016111,1.9093524,1686.7881033
"1267.01",158561566,"KP",6.7900981,6.0786576,2158.1733568
"1268.01",142394656,"CP",8.1577210,3.7880000,10273.0000000
"1269.01",198241702,"CP",4.2529641,2.5733867,758.5849990
"1269.02",198241702,"PC",9.2378703,2.5350000,660.0000000
"127.01",234523599,"CP",3.7955178,2.0198135,52278.9940979
"1270.01",237200747,"FP",14.3034613,3.1350000,48840.0000000
"1271.01",286923464,"KP",6.1349783,5.6610000,3860.0000000
"1272.01",417948359,"CP",3.3159772,1.4940000,2770.0000000
"1273.01",445859771,"CP",4.6313014,1.4350000,4860.0000000
"1274.01",459969957,"PC",19.3203478,4.2150000,13910.0000000
"1275.01",13499636,"FA",11.3246821,5.9704136,1937.5829721
"1276.01",43064903,"FA",6.2611690,2.0369188,4005.0228080
"1277.01",153949511,"FA",,4.6000000,1405.9675071
"1277.02",153949511,"PC",14.8559691,3.7110000,1127.0000000
"1278.01",163539739,"CP",14.4751062,1.6182484,9618.5798534
"1279.01",224297258,"CP",9.6141636,3.4271882,933.6532689
"128.01",391949880,"CP",4.9404714,1.9540000,455.0000000
"1280.01",230017324,"PC",9.6926392,3.0182304,1838.2370548
"1281.01",232971294,"PC",6.3908880,3.7660000,435.0000000
"1282.01",236445129,"KP",0.9689927,2.5496309,13532.9710157
"1283.01",266593143,"KP",10.3385050,4.2420000,18162.0000000
"1284.01",267561446,"FP",1.2832510,2.0122610,1961.3182030
"1285.01",274662200,"FP",1.2284388,1.9190118,1229.4965125
"1286.01",277507814,"APC",0.6166953,0.7120000,1089.0000000
"1287.01",352764091,"PC",9.6001126,4.9882857,380.4193796
"1288.01",365733349,"CP",2.6998294,2.2080000,2798.0000000
"1289.01",408203470,"FP",0.5813220,1.3261177,3206.6010016
"1240.01",158170594,"KP",1.7208555,1.8346409,10014.2587401
"1241.01",159107668,"PC",4.7802597,1.4588658,1015.4550043
"1242.01",198212955,"PC",0.3814849,0.5650000,570.0000000
"1243.01",219698776,"CP",4.6595169,0.9011821,1725.1706259
"1244.01",219850915,"CP",6.4002807,2.1559875,1026.6018729
"1245.01",229781583,"PC",4.8204512,1.7560000,1930.0000000
"1246.01",230127302,"CP",18.6548829,5.4431451,1495.4449473
"1246.02",230127302,"CP",4.3074513,2.3379196,1094.8419495
"1246.03",230127302,"CP",5.9041278,2.7678313,773.9266468
"1246.04",230127302,"CP",37.9251983,3.5345219,1370.7888539
"1247.01",232540264,"CP",15.9234883,4.0210000,493.0000000
"1248.01",232612416,"CP",4.3601536,2.3408909,5592.2909183
"1249.01",232976128,"CP",13.0791581,2.9700000,1143.0000000
"125.01",52368076,"CP",4.6517186,2.7090000,978.0000000
"125.02",52368076,"CP",9.1549418,2.4570000,1101.0000000
"125.03",52368076,"CP",19.9815709,2.7240000,909.0000000
"125.04",52368076,"PC",,4.6235211,738.7670156
"1250.01",233059608,"FA",1.4415044,0.9274524,547.3172736
"1251.01",233120979,"APC",5.9630544,2.9510000,11000.0000000
"1252.01",233211762,"PC",1.1219715,0.8226121,3997.6445916
"1253.01",233684822,"FP",4.6756655,1.9140000,738.0000000
"1254.01",236714379,"APC",1.0180114,1.1353639,2618.9492168
"1255.01",237222864,"CP",10.2888860,1.3910000,854.0000000
"1256.01",274762761,"FP",1.0332441,3.8017836,26111.5081972
"1257.01",278348461,"KP",5.4526479,3.4010000,7750.0000000
"1258.01",288132261,"PC",10.2613397,4.8550000,726.0000000
"1259.01",288735205,"CP",3.4779776,2.5103489,27021.6932424
"126.01",70440470,"KP",3.0354017,2.8809533,16196.2158157
"1260.01",355867695,"CP",3.1274634,1.9812695,1331.8369300
"1260.02",355867695,"CP",7.4931613,1.9339295,1650.6470497
"1260.03",355867695,"CP",49.8251660,3.8714976,2059.4069037
"1261.01",356311210,"PC",18.0574016,3.5921770,1198.0572128
"1322.01",240450679,"APC",3.3764400,1.4370000,5791.2000000
"1323.01",256886630,"FP",2.0390500,2.2600000,430.0000000
"1324.01",266688542,"FP",2.9424142,4.0730000,1400.0000000
"1325.01",274942910,"FP",1.0793011,2.1960000,1562.0000000
"1326.01",275111900,"FP",8.0428575,9.5040000,18730.0000000
"1327.01",312083267,"APC",3.9392211,2.3790000,1468.0000000
"1328.01",330332501,"FP",4.0157492,2.7060000,1150.0000000
"1329.01",345996087,"FP",2.0197600,3.3940000,3963.8500000
"133.01",219338557,"PC",8.1995368,2.1168277,903.3694431
"1330.01",357457104,"FP",1.7480540,2.1220000,670.0000000
"1331.01",387664866,"FP",2.6564600,2.4750000,773.3690000
"1332.01",387664868,"FP",2.6568800,2.6150000,1959.8800000
"1333.01",395171208,"CP",4.7201912,4.4160000,6710.0000000
"1334.01",42123111,"FP",4.0334900,2.6840000,1530.0000000
"1335.01",89759617,"FP",3.3295394,2.7700000,2620.0000000
"1336.01",92783821,"FP",3.8615978,1.6780000,1020.0000000
"1337.01",160708862,"KP",3.3448312,3.3220000,13626.0000000
"1338.01",260128333,"CP",95.1740000,11.6316864,2600.0616050
"1339.01",269701147,"CP",8.8803281,2.7100000,1238.0000000
"1339.02",269701147,"CP",28.5804740,4.5139977,1081.3969430
"1339.03",269701147,"CP",38.3511223,5.9120193,1029.0917261
"134.01",234994474,"CP",1.4015183,1.1583061,593.7540922
"1340.01",233681149,"FP",8.5874668,5.1458902,1904.8131484
"1341.01",233390838,"FP",6.4474918,2.6430000,9270.0000000
"1342.01",256621916,"FP",1.4136455,1.4480000,2427.0000000
"1343.01",358631536,"FP",3.4040139,4.8370000,935.0000000
"1344.01",1400770435,"FP",13.7432169,2.7300000,5046.0000000
"1345.01",160487753,"PC",8.4713400,6.9890000,540.0000000
