time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2,tic_id,label
1543.9094758440956,0.9998504,0.000107854,0.0027311384,227845,1849.8823618234112,1132.1127418248402,1.00258375e+06,107.66055,13586.183,14.953312,1.0329342e+06,111.42275,0,,,,,1849.8823618234112,9.81381e-05,1132.1127418248402,0.00013630942,0.042104807,-0.096581295,297967252,false_positive
1543.9108647533687,0.9999642,0.00010787881,0.0027311593,227846,1849.8899846734062,1132.1130821183183,1.00308175e+06,107.68531,13561.681,14.94523,1.03305175e+06,111.44839,0,,,,,1849.8899846734062,9.807459e-05,1132.1130821183183,0.00013627963,0.051184982,-0.09539291,297967252,false_positive
1543.912253662642,1.0000181,0.00010787209,0.0027311803,227847,1849.8853106851539,1132.1159994682769,1.00289225e+06,107.678604,13563.101,14.951107,1.03310744e+06,111.441444,0,,,,,1849.8853106851539,9.819542e-05,1132.1159994682769,0.00013616476,0.045668785,-0.092099674,297967252,false_positive
1543.9136425721479,0.99997,0.00010787362,0.0027312015,227848,1849.8919576696042,1132.1103286105006,1.0031276e+06,107.68014,13499.592,14.921962,1.03305775e+06,111.44302,0,,,,,1849.8919576696042,9.810894e-05,1132.1103286105006,0.00013605274,0.053695597,-0.09947123,297967252,false_positive
1543.915031481421,1.0002185,0.00010788426,0.0027312224,227849,1849.8872816056594,1132.1094628435008,1.0033502e+06,107.69076,13473.654,14.912876,1.0333145e+06,111.45402,0,,,,,1849.8872816056594,9.819704e-05,1132.1094628435008,0.00013581934,0.047420826,-0.09923695,297967252,false_positive
1543.916420390927,1.000026,0.00010782478,0.0027312436,227850,1849.8814106068432,1132.1098176487749,1.0023305e+06,107.631386,13433.983,14.893557,1.03311556e+06,111.39257,0,,,,,1849.8814106068432,9.829295e-05,1132.1098176487749,0.00013577557,0.041333757,-0.097777635,297967252,false_positive
1543.9178093002001,1.000131,0.00010785321,0.0027312646,227851,1849.883386182596,1132.1172447811925,1.0029036e+06,107.65976,13413.027,14.880954,1.03322406e+06,111.421936,0,,,,,1849.883386182596,9.815451e-05,1132.1172447811925,0.000136228,0.04395119,-0.09093636,297967252,false_positive
1543.9191982094726,1.0000937,0.00010783986,0.0027312855,227852,1849.8875183945179,1132.1108467111553,1.0027458e+06,107.64644,13370.199,14.86475,1.0331855e+06,111.40815,0,,,,,1849.8875183945179,9.819387e-05,1132.1108467111553,0.00013593699,0.048366137,-0.09780552,297967252,false_positive
1543.9205871189786,0.99990016,0.00010784359,0.0027313067,227853,1849.8947153884442,1132.1099723509392,1.0028529e+06,107.650154,13348.459,14.864515,1.0329856e+06,111.411995,0,,,,,1849.8947153884442,9.80649e-05,1132.1099723509392,0.00013611272,0.05749515,-0.09966838,297967252,false_positive
1543.9219760282524,1.0001154,0.000107861204,0.0027313277,227854,1849.8859953754582,1132.1119895391066,1.00323475e+06,107.66774,13326.479,14.851338,1.03320794e+06,111.4302,0,,,,,1849.8859953754582,9.8065335e-05,1132.1119895391066,0.00013616524,0.046297368,-0.096565545,297967252,false_positive
1543.9233649377582,1.0002309,0.000107846354,0.0027313489,227855,1849.8860495133752,1132.1153371503121,1.003018e+06,107.65292,13299.435,14.836776,1.03332725e+06,111.414856,0,,,,,1849.8860495133752,9.823003e-05,1132.1153371503121,0.0001359905,0.0472127,-0.09226162,297967252,false_positive
1543.9247538470306,1.0001347,0.00010784615,0.0027313698,227856,1849.8863495828646,1132.1132940645,1.0030992e+06,107.65271,13242.302,14.818222,1.03322794e+06,111.41464,0,,,,,1849.8863495828646,9.808661e-05,1132.1132940645,0.00013610358,0.04699361,-0.09489337,297967252,false_positive
1543.9261427565366,1.0002915,0.00010781678,0.002731391,227857,1849.8824007794012,1132.1027949635497,1.0026258e+06,107.62339,13205.426,14.796448,1.0333898e+06,111.3843,0,,,,,1849.8824007794012,9.8144985e-05,1132.1027949635497,0.00013611095,0.04296072,-0.10829729,297967252,false_positive
