time,flux,flux_err,tic_id,label
2201.735231746964,1.0037879,0.0006340042,97700520,false_positive
2201.7354632360257,1.0042334,0.00063400273,97700520,false_positive
2201.735694724854,1.0046648,0.00063423766,97700520,false_positive
2201.7359262139153,1.005082,0.00063416857,97700520,false_positive
2201.736157702977,1.0045209,0.00063413783,97700520,false_positive
2201.7363891918058,1.0060408,0.00063452177,97700520,false_positive
2201.736620680867,1.0054517,0.00063440244,97700520,false_positive
2201.737083658757,1.0032927,0.00063402473,97700520,false_positive
2201.7373151478187,1.0042386,0.0006344258,97700520,false_positive
2201.7375466368794,1.0049679,0.0006344206,97700520,false_positive
2201.7377781257082,1.0035871,0.00063406536,97700520,false_positive
2201.73800961477,1.0047483,0.000634557,97700520,false_positive
2201.7382411038316,1.0029606,0.0006335646,97700520,false_positive
2201.7384725926613,1.0030859,0.0006340722,97700520,false_positive
2201.7387040817225,1.0035973,0.0006339083,97700520,false_positive
2201.738935570551,1.0040872,0.0006342389,97700520,false_positive
2201.7391670596126,1.0033281,0.0006340625,97700520,false_positive
2201.739398548674,1.0034685,0.00063401036,97700520,false_positive
2201.7396300375026,1.0026518,0.0006340001,97700520,false_positive
2201.739861526564,1.0030769,0.00063404074,97700520,false_positive
2201.7400930156255,1.0050122,0.00063461554,97700520,false_positive
2201.740324504454,1.0028158,0.0006339555,97700520,false_positive
2201.740555993515,1.0029669,0.00063411787,97700520,false_positive
2201.7407874825767,1.0037049,0.00063416146,97700520,false_positive
2201.7410189714055,1.0030965,0.0006341704,97700520,false_positive
2201.7412504604667,1.0024211,0.000633947,97700520,false_positive
2201.741481949528,1.0024422,0.0006340634,97700520,false_positive
2201.741713438357,1.0033901,0.00063455827,97700520,false_positive
2201.7419449274184,1.002155,0.00063378375,97700520,false_positive
2201.742176416479,1.0021896,0.0006338114,97700520,false_positive
2201.742407905309,1.0032567,0.00063413294,97700520,false_positive
2201.7426393943706,1.0034279,0.0006344424,97700520,false_positive
2201.7428708831994,1.0022761,0.0006340131,97700520,false_positive
2201.743102372261,1.0027274,0.0006342141,97700520,false_positive
2201.7433338613223,1.0027515,0.00063420384,97700520,false_positive
2201.7435653501507,1.0024601,0.00063465413,97700520,false_positive
2201.7437968392123,1.0016801,0.00063391635,97700520,false_positive
2201.744028328274,1.0018289,0.00063380785,97700520,false_positive
2201.7442598171024,1.0028348,0.00063434977,97700520,false_positive
2201.7444913061636,1.0019145,0.0006340552,97700520,false_positive
2201.7447227952252,1.00288,0.00063422753,97700520,false_positive
